지역,노선명,역명,위도,경도,총_승하차객수,브랜드_밀도,프리미엄_비율,가성비_비율,브랜드_다양성,클러스터
서울,5호선,방화,37.577669,126.812822,12959,6.0,0.17,0.83,5.0,3
서울,5호선,서대문,37.565812,126.966639,34450,30.0,0.5,0.5,11.0,1
서울,5호선,발산,37.562182,126.82693,46341,31.0,0.39,0.61,10.0,1
서울,5호선,광나루,37.545301,127.103478,20089,8.0,0.5,0.5,6.0,0
서울,5호선,목동,37.526088,126.864296,32100,10.0,0.4,0.6,7.0,0
서울,5호선,청구,37.560237,127.01379,6286,7.0,0.14,0.86,5.0,3
서울,5호선,마포,37.539718,126.946043,28217,21.0,0.33,0.67,10.0,0
서울,5호선,아차산,37.552005,127.089609,27278,11.0,0.18,0.82,9.0,0
서울,5호선,마천,37.494972,127.152784,12841,4.0,0.0,1.0,4.0,3
서울,5호선,방이,37.508752,127.126054,15000,11.0,0.18,0.82,8.0,3
서울,5호선,애오개,37.553592,126.956733,12797,9.0,0.33,0.67,7.0,0
경기,5호선,하남풍산,37.552201,127.203897,8657,5.0,0.6,0.4,4.0,0
서울,5호선,여의나루,37.527045,126.932807,20923,11.0,0.45,0.55,7.0,0
서울,5호선,군자,37.557102,127.079559,24550,11.0,0.27,0.73,7.0,0
서울,5호선,종로3가,37.572546,126.990447,28471,22.0,0.23,0.77,8.0,0
서울,5호선,굽은다리,37.545442,127.142844,18712,11.0,0.45,0.55,7.0,0
서울,5호선,둔촌동,37.527787,127.136219,25312,16.0,0.19,0.81,9.0,0
서울,5호선,장한평,37.561438,127.064601,37598,10.0,0.2,0.8,8.0,0
서울,5호선,답십리,37.566833,127.05266,28770,13.0,0.23,0.77,7.0,0
경기,5호선,하남검단산,37.539729,127.223427,12242,4.0,0.25,0.75,4.0,2
서울,5호선,까치산,37.53221,126.846466,51596,11.0,0.27,0.73,9.0,0
서울,5호선,길동,37.538022,127.140085,17927,16.0,0.44,0.56,11.0,0
서울,5호선,양평,37.525614,126.886177,15435,11.0,0.18,0.82,7.0,3
서울,5호선,강동,37.53581,127.13249,35308,14.0,0.43,0.57,7.0,0
서울,5호선,강일,37.557521,127.176018,10954,2.0,0.5,0.5,2.0,2
서울,5호선,고덕,37.555002,127.154214,19180,10.0,0.4,0.6,10.0,0
서울,5호선,개화산,37.572458,126.806838,11218,12.0,0.33,0.67,10.0,0
서울,5호선,거여,37.493208,127.143983,18620,8.0,0.5,0.5,6.0,0
서울,5호선,마곡,37.55865,126.837693,30624,26.0,0.46,0.54,10.0,0
서울,5호선,공덕,37.544005,126.951058,27446,27.0,0.44,0.56,10.0,0
서울,5호선,행당,37.557297,127.029482,14210,7.0,0.29,0.71,5.0,3
서울,5호선,여의도,37.521678,126.924318,55497,35.0,0.66,0.34,9.0,1
서울,5호선,화곡,37.541585,126.840436,52425,16.0,0.38,0.62,9.0,0
서울,5호선,영등포구청,37.524209,126.895022,9214,24.0,0.33,0.67,12.0,0
서울,5호선,개롱,37.498097,127.134817,12264,8.0,0.38,0.62,6.0,0
경기,5호선,하남시청,37.541723,127.206901,15771,9.0,0.22,0.78,7.0,0
서울,5호선,마장,37.566066,127.042921,10578,3.0,0.0,1.0,3.0,3
서울,5호선,을지로4가,37.56728,126.998127,12071,15.0,0.4,0.6,9.0,0
서울,5호선,우장산,37.548864,126.83633,27621,10.0,0.3,0.7,7.0,0
경기,5호선,미사,37.56309,127.192954,34600,21.0,0.29,0.71,11.0,3
서울,5호선,왕십리,37.56197,127.037264,9714,25.0,0.36,0.64,13.0,0
서울,5호선,올림픽공원,37.516217,127.130957,9093,3.0,0.33,0.67,3.0,3
서울,5호선,오목교,37.524557,126.875049,41918,20.0,0.45,0.55,10.0,0
서울,5호선,오금,37.502228,127.127701,6851,3.0,0.0,1.0,3.0,3
서울,5호선,동대문역사문화공원,37.564682,127.00533,6348,23.0,0.43,0.57,9.0,0
서울,5호선,김포공항,37.56217,126.801273,21500,2.0,0.5,0.5,2.0,2
서울,6호선,연신내,37.618483,126.920403,2,21.0,0.24,0.76,9.0,0
서울,6호선,월드컵경기장,37.569439,126.899077,7907,2.0,0.0,1.0,2.0,3
서울,6호선,태릉입구,37.617319,127.074741,11097,17.0,0.41,0.59,9.0,0
서울,6호선,한강진,37.53956,127.001729,19550,0.0,0.0,0.0,0.0,2
서울,6호선,신내,37.612571,127.104326,1,5.0,0.0,1.0,4.0,3
서울,6호선,불광,37.610919,126.929504,8756,16.0,0.25,0.75,9.0,0
서울,6호선,버티고개,37.547933,127.006948,4210,0.0,0.0,0.0,0.0,2
서울,6호선,보문,37.585293,127.019377,14520,9.0,0.11,0.89,6.0,3
서울,6호선,봉화산,37.617429,127.0912326,15206,4.0,0.0,1.0,4.0,3
서울,6호선,석계,37.614937,127.065922,22825,9.0,0.22,0.78,5.0,3
서울,6호선,상수,37.547704,126.92292,21232,15.0,0.33,0.67,10.0,0
서울,6호선,상월곡,37.606392,127.048509,11085,4.0,0.0,1.0,3.0,3
서울,6호선,새절,37.591148,126.913613,22861,11.0,0.18,0.82,7.0,3
서울,6호선,화랑대,37.619875,127.084106,17952,4.0,0.25,0.75,3.0,3
서울,6호선,합정,37.549033,126.913546,25881,25.0,0.4,0.6,12.0,0
서울,6호선,삼각지,37.535563,126.973996,13537,5.0,0.2,0.8,4.0,3
서울,6호선,창신,37.579772,127.015246,5881,1.0,0.0,1.0,1.0,3
서울,6호선,청구,37.560221,127.013776,7056,7.0,0.14,0.86,5.0,3
서울,6호선,효창공원앞,37.539279,126.961348,13389,9.0,0.11,0.89,6.0,3
서울,6호선,동묘앞,37.572275,127.015666,17586,14.0,0.0,1.0,6.0,3
서울,6호선,돌곶이,37.610522,127.056419,21458,9.0,0.11,0.89,6.0,3
서울,6호선,광흥창,37.547464,126.931971,17309,7.0,0.43,0.57,6.0,0
서울,6호선,안암,37.586261,127.02903,21165,17.0,0.41,0.59,9.0,0
서울,6호선,신당,37.566174,127.016158,16689,18.0,0.17,0.83,8.0,0
서울,6호선,증산,37.583989,126.909785,8609,7.0,0.14,0.86,6.0,3
서울,6호선,응암,37.59859,126.915583,33471,17.0,0.29,0.71,8.0,0
서울,6호선,망원,37.556031,126.910129,33167,15.0,0.13,0.87,7.0,3
서울,6호선,이태원,37.534485,126.994369,23932,8.0,0.38,0.62,6.0,0
서울,6호선,약수,37.554087,127.010237,6860,9.0,0.22,0.78,5.0,3
서울,6호선,월곡,37.60192,127.041492,20870,8.0,0.38,0.62,6.0,0
서울,6호선,역촌,37.60605,126.922764,8073,7.0,0.14,0.86,5.0,3
